human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-193 Pre-2 GABA-3 GBX1 BMPR1B	0	0	0	0.05	0.03	0.01	0.01	0.22	0.06	0.01	0	0.3	GBX1|BMPR1B|LHX8|LHX6|SOX6	LPOA	#FFE926	C4-193	C3-74	C465-262: Lhx6.Gbx1.Sox6.Lhx8.GABA-1	0.824	1	0.03	0	0	0.35	0.19	0.02	0.07	0.02	0.04	0.01	0.13	1.61
C4-270 Mid-3 GLU-1 DLK1 MEIS1	0	0	0	0.02	0.06	0	0.01	0.21	0.03	0.03	0.14	0.07	MEIS1|PAX6|PNOC|POU6F2|SAMD3			C4-270	C3-99															
C4-161 Mid-1 GABA-6 IL13RA1 GHRH	0	0.1	0.26	0.12	3.36	0.02	0	1.67	0.01	0	0.42	0.23	GHRH|ADGRF4|GHSR|ITGA4|DLK1	ARC	#993E17	C4-161	C3-65	C465-284: Slc10a4.Ghrh.GABA-3	0.88	1	0	0.25	0.28	0.62	4.33	0.01	0.1	0.24	0.15	0.01	0.22	0.92
C4-230 Post-1 GLU-1 EBF2 IL1RAPL2	0	0	0.02	0.05	0.04	0.01	0.01	0.33	0.04	0.01	0.04	0.07	ADH1B|EBF2|NEUROD6|LMX1A|EBF3	MAM	#990073	C4-230	C3-85	C465-47: Th.Ebf3.Lmx1a.GLU-2	0.923	1	0.01	0	0	0.1	0.2	0.02	0.05	0.05	0.03	0.01	0.05	0.19
C4-214 Post-1 GLU-1 EBF2 THSD7B	0	0	0.02	0.56	0	0	0.01	0.42	0.1	0.45	0.01	0	EBF2|EBF3|LMX1A|PDZRN4|CRNDE			C4-214	C3-82	C465-14: Tcf4.Nfia.Nxph4.GLU-2	0.728	1	0.02	0.03	0.11	0.34	0.34	0.01	0.15	0.07	0.02	0.61	0.32	0.17
C4-233 Post-1 GLU-2 CRYBG3 STXBP6	0	0	0	0.82	0.04	0.03	0.04	0.23	0.13	0.87	0.03	0.01	SIM1|PITX2|NTNG1|STXBP6|SLC44A5			C4-233	C3-86															
C4-221 Post-1 GLU-1 ZEB2 IGF1	0	0	0.37	0.05	0.03	0	0	0.48	0.02	0	0.01	0.17	AP005242.1|AP003062.2|EBF2|NEUROD6|FOXA1	MAM	#990073	C4-221	C3-83	C465-48: Rxfp1.Lmx1a.GLU-2	0.744	1	0	0.03	0.01	0.05	0.44	0.02	0.06	0.06	0.01	0.02	0.05	0.94
C4-245 Post-1 GLU-2 ADGRG4 TFAP2B	0	0	0	1.97	0.05	0.02	0.01	0.3	0.04	1.04	0.02	0	TFAP2B|ADGRG4|OTX2|GRP|NTS	MAM	#990073	C4-245	C3-90															
C4-231 Post-1 GLU-1 EBF2 PLEKHH2	0	0	0.09	0.02	0	0	0.01	0.41	0.02	0.02	0	0.15	EBF2|PLEKHH2|TTC6|FOXA1|LMX1A	MAM	#990073	C4-231	C3-85	C465-46: Crhbp.Ebf3.Lmx1a.GLU-2	0.881	1	0.02	0.05	0	0.26	0.21	0	0.08	0.09	0.02	0.06	0.14	0.25
C4-80 Mid-1 GABA-2 ERFL TH	0	0	0	0.39	1.17	0	0.02	0.26	0.19	0.01	0.61	0.43	TH|POU6F2|ONECUT1|GHRH|SLC18A2	DMH	#FF73C7	C4-80	C3-44	C465-155: Th.Meis2.Mixed.GABA-2	0.877	1	0.02	0.01	0	0.34	0.35	0.07	0.09	0.08	0.06	0	0.16	1.57
C4-112 Mid-1 GABA-3 ECEL1 NDST4	0	0	0	0.21	0.08	0	0.01	0.19	0.08	0	0.02	0.64	GPC3|MEIS2|ECEL1	DMH	#FF73C7	C4-112	C3-52															
C4-237 Post-1 GLU-2 IL1RAPL2 FIGN	0	0.03	0	0.84	0.09	0	0.01	0.28	0.16	0.91	0.02	0.02	EBF3|FIGN|SEMA3C|SIM1|LHX1	MAM	#990073	C4-237	C3-87	C465-42: Ebf3.Pde11a.Foxb1.GLU-2	0.803	1	0.01	0.02	0	0.06	0.42	0.01	0.11	0.03	0.02	0.77	0.14	0.11
C4-257 Post-1 GLU-4 CRNDE ADCYAP1	0	0	0	2.16	0.07	0.02	0	0.24	0.14	0	0.01	0.01	LMX1A|LMX1B|CRNDE|NTS|CDH23	MAM	#990073	C4-257	C3-95	C465-5: Cdh23.Lmx1a.Pitx2.Irx5.GLU-2	0.775	1	0.05	0	0	1.1	0.23	0.02	0.07	0.04	0.02	0.08	0.05	0.09
C4-372 Mid-2 GLU-3 PMCH	0	0	0	0.24	0.39	0	0.07	0.14	0.01	0.07	0	0.01	PMCH|ESM1|CARTPT|CRHBP|CBLN1			C4-372	C3-128	C465-138: Tacr3.Pmch.GLU-7	0.912	2	0.04	0	0	0.16	1.1	0.06	0.25	0	0.07	0.01	0.13	0.24
C4-298 Mid-3 GLU-3 AVP SLC17A7	0	0	0	0.06	0.06	0	0.05	0.21	0.07	1.15	0.12	0.08	SLC17A7|CPB1|EBF1|OTP|NKX2-2	PVN	#884599	C4-298	C3-106	C465-14: Tcf4.Nfia.Nxph4.GLU-2	0.713	1	0.02	0.03	0.11	0.34	0.34	0.01	0.15	0.07	0.02	0.61	0.32	0.17
C4-281 Mid-3 GLU-2 CBLN2 ADAMTS12	0	0	0	0.02	0.02	0.01	0	0.35	0.05	1.24	0.4	0	EBF1|SIM1|OTP|ADGRG4|ADAMTS12	MPOA	#532E99	C4-281	C3-101															
C4-413 Post-2 GLU-1 SALL3 DMRTA2	0	0	0	0.03	0.01	0	0.41	0.17	0.18	0.58	0.35	0.07	NPSR1|DMRTA2|KIT|FGL2|ONECUT2	LH	#3D61CC	C4-413	C3-139															
C4-410 Post-2 GLU-1 KIT LAMA1	0	0	0	0.03	0.02	0.01	0.47	0.28	0.17	1.34	0.11	0	SIM1|CCDC68|FRMPD2|OTX2|MYO1B			C4-410	C3-138	C465-143: Ctxn3.Myo5b.Postn.Foxb1.GLU-8	0.801	1	0.01	0.01	0	1.3	0.12	0.18	0.34	0.01	0.01	0.53	0.11	0.06
C4-408 Post-2 GLU-1 ADGRL4 IL1RAPL2	0	0	0	0.03	0.02	0.01	0.01	0.19	0.06	0.51	0.16	0	ADGRL4|CFAP299|MYO5B|LTBP1|PAPPA			C4-408	C3-137	C465-173: Prok2.Vip.Vipr2.GABA-2	0.8	1	0	0	0	0.03	0.05	0	0.02	0	0	0	0.05	1.51
C4-259 Post-1 GLU-4 NDNF COBLL1	0	0	0	0.76	0	0	0	0.31	0.01	0.01	0	0	COBLL1|CDH23|LMX1A|NDNF|BTNL9	LH	#3D61CC	C4-259	C3-96															
C4-61 Pre-1 GABA-7 FREM2	0	0	0	0.06	0.01	0	0.63	0.14	0	0	0.02	0.31	FREM2|EMILIN2|IQGAP2|MLIP|CCN2			C4-61	C3-40	C465-84: Nkd2.Bcl11b.Gpr149.GLU-3	0.755	1	0.34	0.05	0.01	0.08	0.2	0.02	1.13	0.06	0.01	0	0.08	0.11
C4-4 Pre-1 GABA-8 PRKCH PTPRQ	0	0	0	0.01	0	0.02	0.35	0.32	0.02	0	0	0.17	PTPRQ|PDYN|DRD1|PPP1R1B|CCDC88C			C4-4	C3-22															
C4-241 Post-1 GLU-2 C1QL2 ADAMTSL1	0	0	0	0.1	0.02	0	0.01	0.28	0.16	1.4	0.13	0	OTX2|ADAMTSL1|FEZF2|SIM1|EMX2	MAM	#990073	C4-241	C3-88															
C3-154 Immune Macrophages	0	0	0	0.01	0.05	0	0.03	0.47	0.01	0.02	0	0.02	MARCO|F13A1|SIGLEC1|CR1|LILRB5	Vascular	#8500CC	C3-154	C3-154															
C3-155 Immune Myocytes	0	0	0	0	0	0	0	0.28	0	0.17	0	0	MYPN|TRDN|MYBPC2|BEST3|ASB5			C3-155	C3-155															
C3-147 Immune Microglia HAMP	0	0	0	0	0.01	0.01	0.01	0.34	0.01	0	0	0.01	HAMP|CERNA2|ERC2|CD163|FCGR3A			C3-147	C3-147															
C3-143 Vascular PTGDR	0	0	0	0.02	0.18	0.02	0	2.78	0.57	0.01	0.03	0	CD177|GADL1|SFRP2|PTGDR|MEOX2	Vascular	#8500CC	C3-143	C3-143															
C3-156 Immune Tcells	0	0	0	0.06	0.03	0.01	0.01	0.24	0.01	0.01	0.01	0.01	THEMIS|GRAP2|CD2|SKAP1|IL7R	ME	#C1FF4D	C3-156	C3-156															
C3-144 Vascular Pericytes	0	0	0	0.04	0.02	0.01	0	0.37	0.01	0	0.01	0.02	GRM8|LZTS1|PTH1R|SLC30A10|GJC1	Vascular	#8500CC	C3-144	C3-144															
C3-151 Immune Microglia SPON1	0	0	0	0.01	0.01	0	0.01	0.64	0	0	0	0	SPON1|GRID2			C3-151	C3-151															
C3-152 Immune Microglia SLC2A3	0	0	0	0.04	0	0	0.01	0.52	0	0	0	0.01	CERNA2|SLC2A3|SRGN|GPR183|SPP1			C3-152	C3-152															
C3-145 Vascular SMCs	0	0	0	0.09	0	0	0.03	0.42	0.01	0	0	0.02	CNN1|DES|LMOD1|TAGLN|MYOCD	Vascular	#8500CC	C3-145	C3-145															
C3-153 Immune Microglia STMN2	0	0	0.02	0.33	0.15	0	0.15	0.41	0.05	0.01	0.14	0.15	STMN2|SEZ6L2|GABRA1|THY1|ATP1A3			C3-153	C3-153															
